"Parcel_No","Bylaw_No","Address","Desc","CommonName","Year_built","Year_Desig","Doc_URL","WebsiteURL","Image1_URL","Image2_URL","Lon","Lat",
"11205","7951","102 East Main Street","IN THE CITY OF WELLAND, KNOWN AS THE WELLAND COUNTY COURT HOUSE, AS BEING OF ARCHITECTURAL AND HISTORIC VALUE OR INTEREST. DESIGNATE HERITAGE BUILDING","Welland County Court House","1856","1984","https://www.welland.ca/Heritage/WellandCourtHouse.asp","https://www.welland.ca/Heritage/WellandCourtHouse.asp","https://www.welland.ca/Heritage/picts/Court_House-now.jpg","https://www.welland.ca/Heritage/picts/Court_House-then.jpg","-79.247472","42.992768",
"10481","2002-122","103 State Street","KNOWN AS THE LOBOSCO-FOOTE HOUSE AS BEING OF ARCHITECTURAL AND HISTORIC VALUE OR INTEREST. DESIGNATE HERITAGE BUILDING","Lobosco-Foote House","1931","2002","https://www.welland.ca/Heritage/LoboscoFooteHouse.asp","https://www.welland.ca/Heritage/LoboscoFooteHouse.asp","https://www.welland.ca/Heritage/picts/LoBosco-Foote-now.jpg","https://www.welland.ca/Heritage/picts/LoBosco-Foote-then.jpg","-79.249111","42.986531",
"23181","2006-101","140 King Street","KNOWN AS THE CARNEGIE BUILDING OF HISTORIC OR ARCHITECTURAL VALUE OR INTEREST. DESIGNATE HERITAGE BUILDING.","Carnegie Building","1923","2006","https://www.welland.ca/Heritage/CarnegieBuilding.asp","https://www.welland.ca/Heritage/CarnegieBuilding.asp","https://www.welland.ca/Heritage/picts/CarnegieBuilding-lg.jpg","","-79.250683","42.989133",
"20677","11002","155 Hellems Avenue","KNOWN AS THE GORDON MARSHALL HOUSE OF HISTORIC OR ARCHITECTURAL VALUE OR INTEREST. DESIGNATE","Gordon Marshall House","1884","1997","https://www.welland.ca/Heritage/GordonMarshallHouse.asp","https://www.welland.ca/Heritage/GordonMarshallHouse.asp","https://www.welland.ca/Heritage/picts/GordonMarshall-now.jpg","https://www.welland.ca/Heritage/picts/GordonMarshall-then.jpg","-79.246954","42.989235",
"15127","2003-116","196 Niagara Street","KNOWN AS THE THOMSON-MATEKA HOUSE AS BEING OF HISTORICAL AND ARCHITECTURAL VALUE OR INTEREST. DESIGNATE HERITAGE BUILDING","Thomson-Mateka House","1855","2003","https://www.welland.ca/Heritage/Thomson-MatekaHouse.asp","https://www.welland.ca/Heritage/Thomson-MatekaHouse.asp","https://www.welland.ca/Heritage/picts/Thomson-Mateka-now.jpg","https://www.welland.ca/Heritage/picts/Thomson-Mateka-then.jpg","-79.252408","42.996364",
"11089","9888","20 Evan Street","KNOWN AS THE GROSS HOME, OF HISTORIC OR ARCHITECTURAL VALUE OR INTEREST. UNDER THE HERITAGE ACT. DESIGNATE HERITAGE BUILDING","Raymond-Gross-MacLellan House","1915","1992","https://www.welland.ca/Heritage/RaymondGrossMacClellanHouse.asp","https://www.welland.ca/Heritage/RaymondGrossMacClellanHouse.asp","https://www.welland.ca/Heritage/picts/RaymongGross-McClellan-then.jpg","https://www.welland.ca/Heritage/picts/RaymongGross-McClellan-now.jpg","-79.243911","42.994947",
"11231","9424","204 East Main Street","THE LAWRENCE/SINGER HOUSE, ALSO KNOWN AS THE GINGERBREAD HOUSE OF HISTORIC OR ARCHITECTURAL VALUE OR INTEREST. KEN NASH OWNER. DESIGNATE","Lawrence/Singer House","1890","1990","https://www.welland.ca/Heritage/LawrenceSingerHouse.asp","https://www.welland.ca/Heritage/LawrenceSingerHouse.asp","https://www.welland.ca/Heritage/picts/lawrence-singer-now.jpg","https://www.welland.ca/Heritage/picts/lawrence-singer-then.jpg","-79.244979","42.993011",
"5108","8205","24 Burgar Street","IN THE CITY OF WELLAND, KNOWN AS RINDERLINS DINING ROOMS, OF HISTORIC OR ARCHITECTURAL VALUE OR INTEREST. DESIGNATE HERITAGE BUILDING","Glasgow-Fortner House","1859","1985","https://www.welland.ca/Heritage/GlasgowFortnerHouse.asp","https://www.welland.ca/Heritage/GlasgowFortnerHouse.asp","https://www.welland.ca/Heritage/picts/Glasgow-Fortner-now.jpg","https://www.welland.ca/Heritage/picts/Glasgow-Fortner-then.jpg","-79.243269","42.992369",
"23163","9425","25 Bald Street","ST. ANDREWS PRESBYTERIAN CHURCH AS A BUILDING OF HISTORICAL OR ARCHITECTURAL SIGNIFICANCE. DESIGNATE 25 BALD STREET","St. Andrews Presbyterian Church","1889","1990","https://www.welland.ca/Heritage/StAndrewsChurch.asp","https://www.welland.ca/Heritage/StAndrewsChurch.asp","https://www.welland.ca/Heritage/picts/st-andrews-now.jpg","https://www.welland.ca/Heritage/picts/st-andrews-now.jpg","-79.252927","42.990381",
"5096","2005-97","271 Division Street","KNOWN AS THE BROOKFIELD-CUPIDO HOUSE, OF ARCHITECTURAL VALUE OR INTEREST. HERITAGE ACT. DESIGNATE HERITAGE BUILDING.","Brookfield-Cupido House","1875","2005","https://www.welland.ca/Heritage/BrookfieldCupidoHouse.asp","https://www.welland.ca/Heritage/BrookfieldCupidoHouse.asp","https://www.welland.ca/Heritage/picts/Brookfield-Cupido-now.jpg","","-79.242646","42.991801",
"10811","9775","28 Young Street","IN THE CITY OF WELLAND, KNOWN AS THE MORWOOD HOUSE, OF HISTORIC OR ARCHITECTURAL VALUE OR INTEREST. DESIGNATE HERITAGE BUILDING","Morwood House","1861","1991","https://www.welland.ca/Heritage/MorwoodHouse.asp","https://www.welland.ca/Heritage/MorwoodHouse.asp","https://www.welland.ca/Heritage/picts/morwoodhouse-now.jpg","https://www.welland.ca/Heritage/picts/morwoodhouse-then.jpg","-79.250000","42.989713",
