Title,Electoral Area,Road Classification,Contractors Name,Asset Type,Work Description,Status of Works,Estimated Area of Works,Final Actual Area,Start Date,Completion Date,Roads Listing,Surface Type,Re-Surfacing Materials,Final Cost,X Co-ordinate,Y Co-ordinate,Item Type
Emmet Road,South Central,Traffic Impact 4,,Roadway,Repair and Resurface Carriageway,Planned,11300m2,,,,EMMET ROAD INCHICORE DUBLIN 8;#1384,Bituminous;#2,Bituminous;#2,,"312,687,107.670","233,567,018.080",Item
Morehampton Road (between Appian Way and Herbert Park),South East,Traffic Impact 4,,Roadway,Reconctruct and Resurface,Planned,7000m2,,,,MOREHAMPTON ROAD DONNYBROOK DUBLIN 4;#2609,Bituminous;#2,Bituminous;#2,,"317,095,385.490","232,137,495.090",Item
Leeson Street Upper,South East,Traffic Impact 4,,Roadway,Reconstruct and Resurface,Planned,6000m2,,,,LEESON STREET UPPER  DUBLIN 4;#2266,Bituminous;#2,Bituminous;#2,,"316,590,114.450","232,456,219.860",Item
Rathgar Rd and Rathmines Rd Lwr,South East,Traffic Impact 4,,Roadway,Reconstruct and Resurface carriageway,Planned,24678m2,,,,RATHMINES ROAD LOWER RATHMINES DUBLIN 6;#3120;#RATHGAR ROAD RATHGAR DUBLIN 6;#3113,Bituminous;#2,Bituminous;#2,,"315,552,139.100","231,516,006.720",Item
Harcourt Road,South East,Traffic Impact 5,,Roadway,Reconstruct and Resurface carriageway,Planned,2517m2,,,,HARCOURT ROAD  DUBLIN 2;#1887,Bituminous;#2,Bituminous;#2,,"315,720,729.050","232,759,981.020",Item
Mount Street Lwr (between Merrion Square East and Warrington Place),South East,Traffic Impact 4,,Roadway,Reconstruct and Resurface carriageway,Planned,5825m2,,,,MOUNT STREET LOWER  DUBLIN 2;#2644,Bituminous;#2,Bituminous;#2,,"317,060,470.420","233,446,311.670",Item
Williams Park,South East,Traffic Impact 1,SM Morris Ltd,Roadway,Reconstruction and Resurfacing of carriageway,Planned,700m2,,02/04/2011,02/04/2011,WILLIAMS PARK RATHMINES DUBLIN 6;#4056,Bituminous;#2,Bituminous;#2," €20,878.33 ","315,576,579.660","231,924,513.120",Item
Connolly Avenue,South Central,Traffic Impact 1,,Footway,Concrete Footpath Reconstruction and macadam around the trees.,Planned,400m2,,,10/05/2011,CONNOLLY AVENUE INCHICORE DUBLIN 8;#966,In Situ Concrete;#1;#Bituminous;#2,In Situ Concrete;#1;#Bituminous;#2," €24,272.74 ","312,333,135.300","233,329,761.820",Item
Ramps ,,,,Traffic Calming Measure,Replacement of Red printed asphalt ramps with black asphalt ramp.,Planned,4087 m2,,,,,Bituminous;#2,Bituminous;#2,,,,Item
South East  Local Roads Contract 1,South East,Traffic Impact 1,SM Morris Ltd,Roadway,Resurfacing of Zion Rd and Winton Road.,,,,,,ZION ROAD RATHGAR DUBLIN 6;#4136;#WINTON ROAD RANELAGH DUBLIN 6;#4087,Bituminous;#2,,,,,Item
