Street,Postal Code,No of spaces,Location,TAG Serial No
,D4,1,No 8,6554
Albany Road,,1,No 6/7,
Alborough Parade,D1,1,No 4/6,9910
Alborough Parade,D1,1,No 12/14,7973
All Saints Drive,D5,1,Scoil Ide,11575
Angelsea Rd,D4,1,No 71/73,8445
Anglesea Road,D4,1,At no 73 Anglesea Road,
Annamoe Drive,D7,1,No 32,8755
Annesley Park,D6,1,No 3,03038
Arbour Hill Prison,,1,,
Ard Righ Road,,1,No 54,
Ard Righ Road,D7,1,West side outside no. 7,10302
Arran Quay,,1,No 6/7,
Ashfield Ave,,1,No3/4,
Ashford Street,D7,1,Outside no. 11,10303
Aston Quay,D2,1,Convert existing P&D,8785
Ave Maria Road,,1,No 20,
Avondale Ave,D7,1,,
Bachelor's Walk,,1,No 5/9,
Baggot St Lower,D2,1,No 116,
Baggot St Upper,D2,2,Waterloo Rd,05230
Baggot Street Upper,,1,North Side od old hospital,
Ballyfermot,,1,Road End Of Cole Park Ave,
Ballyfermot Rd,D10,2,shopping centre,
"Bannaville, Mount Pleasant Ave.",D6,1,At no 9 Bannaville,
Bannow Rd,D7,1,No 161,6507
Barrow St,D4,1,No 6,04284
Barrow St,D4,1,No 6,04284
Bath St,D4,1,No 30,5448
Bath Street,D2,1,At no 30 Bath St,
Beechwood Ave Lwr,D6,1,West of Northside,02182
Beechwood Ave Upper,D6,1,No 58/59,8250
Beechwood Rd,D6,1,No 1,9825
Belgrove Rd,D3,1,No 28,
Belton Park Ave,D9,1,No 22,8090
Belton Park Rd,D9,1,No 22,11109
Belton Park Rd,D9,1,No 53,7487
Belvedere Rd,D1,1,At nos 32 Belvedere Road,04547
Black Pitts,,1,South Of Funley Lane,
Botanic Ave,,1,No 88,
Botanic Ave,D9,1,Between No 82-86,6519
"Brian Boru St, Clontarf",D3,1,Nos 20/21,01327
Brighton Rd,D6,1,No 47,7698
Brighton Rd,D6,1,No 75,14281
Brunswick Street North,,1,,
Bulfin Rd,D8,1,No 34,8101
Burlington Road,D4,2,Mespil Road,4384 2159
Burlington Road L/S,D4,1,No 19 West side,02159
Cabra Park W/side,D7,1,No 66/68,8102
Cambridge Ave,D4,1,No 20,11515
Cambridge Ave,D4,1,No 12,8103
Cameron Square,,1,No 2,
Capel St,D1,1,No 32,5257
Carlingford Road,D9,1,No 18/20,10012
Carnlough Rd,D7,1,No 485,10018
Caroline Road,,1,Off Bridge Street,
Castle St,D2,1,Rates office,9563
Castle St,D2,1,E.H.B.,
Castle View Artane,,1,End of Cul de sac,
Castlewood Park,D6,1,No 23,7978
Castlewood Place,D6,1,At no 7 Castlewood Place,
Cathal Brugha St,D1,1,North Side,02849
Cathal Burgh Street,,1,South Side West of malborough Stree Dublin 1,
Cathedral Lane,D8,1,,
Cathedral St,D1,2,North Side,02985
Chancery St,D7,2,River House,4269
Charleville Rd E/side L/S,D6,1,,11596
Charleville Road,D6,1,No 20,02183
Chester Rd,D6,1,No 2,8815
Clanbrassil Street Lower,,1,No 44/57 Mase Shop,
Clanmoyle Road,,1,No 41,
Clanwilliam Tce,D2,1,No 21,
Clarence Mangan Road,,1,No 12,
Clarendon Street,,1,No 45,
Claude Road,,1,No 31/32,
Claude Road,,1,No 10/11,
Clonard Rd,D16,1,No 189,9794
Clonard Rd,D16,1,No 216,10130
Clonmel St/Place,D2,4,North Side,03975
Clontarf Park,D3,1,No 52,02324
Clontarf Park,D3,1,No 59,01896
Clontarf Park,D3,1,At no 47 Clontarf Park,
Clyde Rd,D4,2,No 24/25 to 26/27,7986 7687
Coleraine St,D7,1,No 48,03686
Conway Court,D2,1,At no 6 Conway Court,
Crawford Ave,D3,1,No 14/16,9918
Crawford Ave,D3,0,No 14,
Crumlin Village,,1,Area Office,
Cuffe Lane,,2,West side north of Cuffe Street,
Cullenswood Gardens,D6,1,outside no 20,10278
Cumberland Street,,1,L/S no 6,
Cymric Road,,1,,
Dartmouth Sq Sth,D6,1,No 57/58,11682
Dawson St,D2,1,North of Molesworth St,14166
de Valera Place,D7,1,No 10,0305
de Valera Place,D7,1,No 4,0304
de Valera Place,D7,1,No 9,01061
D'Olier St W/side,D2,2,North of Fleet St,14080 11145
Donnybrook Village,D4,1,Eddie Rockets,8792
Dorset Street Lower,D1,1,At 94 Lr Dorset Street,
Doyles Lane,D3,1,off Clontarf Road,
Drury St,D2,2,East Side,
Dunluce Rd,D3,1,No 124,4270
Earl St South,D2,1,Sth/side Health Centre,10025
Earlsford Terrace,D2,1,,
Eaton Road,,1,4/5,
Ebenezer Terrace,D8,1,Off Donore Ave No 10,9797
Eccles Place,D7,1,Dorset St,01214
Eccles Place N/side,D7,1,West of Dorset St,9734
Eccles St,D7,2,Xray Dept,01164
Eccles St,D7,1,No 14,8759
Eccles St,D7,1,Staff Car Park,8760
Eccless Street,,1,Mater Private,
Eden more Park,,1,Health Centre,
Eden Terrace,D9,1,Botanic Ave,6519
Effra Rd,D6,1,No 33,13722
Elmwood Ave,D6,1,No 45,7654
"Ely Place, off Baggot Street",D2,1,,01578
Emmet Rd,D8,1,No 167,11551
Erne Terrace N/side,D2,2,,10120
Essex St West,D8,1,East of Fishamble St,8282
Essex St West,D8,1,West of Cow Lane,7686
Eton Square,,1,No 18,
Fade St,D2,1,,02149
Farrard Road,D6W,1,,02828
Faulkness Terrace,,1,Oppsite No 4,
Fishamble St,D8,3,Civic Offices,4270
Fitzwilliam Lane,D2,1,At Merrion Hotel,04919
Fitzwilliam St Lwr,D4,2,ESB,
Fleet St,D2,1,At Hotel,9887
Foster Place,D2,1,At no 2 on left side of Foster Place,05068
Fumbally Lane Court,D8,1,,9802
Garville Ave,D6,1,No 30,7099
Granby Row,D2,2,,4271
Grand Canal Quay,D2,1,No 20/21,02467
Grand Canal Quay,D2,1,Telecom,01500
Grand Canal St,D2,2,Old Hospital,02851
Grattan Cresent,,1,,
Great Western Villas,D7,1,No 32/33,11650
Greek Street,,3,River House,
Greendale Rd,D5,1,At 7/9 Greendale Road,05077
Greenmount Lane E/side,D12,1,No 1,8009
Grosvenor Square,D6,1,No 25,8126
Grove Park,D6,1,No 60,7107
Grove Park,D6,1,No 12,04298
Grove Park,D6,1,No 85,04667
Grove Road,D6,1,No 66,11295
Haddington Road,D4,1,Nos 21/23,2782
Haddington Road,D4,1,no 21/23,02782
Haddington Road,D4,1,No 61,01216
Hamilton Street,D8,1,no 17,11296
Harcourt Terrace,,1,West side,
Hardwick Place,,1,Dermot O Dywer House,
Hardwick Road,,1,End Of Cul De sac,
Hardwick Street,D1,1,no 4 south side,6786
Harold Road,,1,No 12/14,
Harolds Cross Road,D6W,1,no 85,8011
Hasting Street,D4,1,no 22,11537
Hasting Street,D4,1,At 44 Hasting Street,
Hatch St Lwr,D2,1,,
Hatch Street Upper,D2,1,Southside Earlsfort terrace,7468
Herbert St,D2,1,At no 6 Herbert Street,05101
Herbert St,D2,2,,
Heytesbury Lane,D4,1,no47/49,10120
Highfield Grove,D6,1,no 27/28,11537
"Hill St, D1",D1,2,No 21,01947
"Hill St, D1",D1,2,,02052
Hogan Place,D2,1,No 30,
Holles St,D2,1,Holbrook House,02145
Hollis Street,,1,Hollis Row Westside,7725
Holly Bank Road,D9,1,No 37/39,6790
Holly Bank Road,D9,1,87/29,8296
Hollybank Road,D9,1,No 69,05103
Hollybank Road,,1,no 55,
Hollybank Road,,1,no 37,
Home Farm Road,D9,1,21/23,7549
Huband Road,,1,No 29,
Inchicore Road (Village),D8,1,,03245
Iona Crescent,D9,1,No 54,4344
Iona Road,D9,1,No 13,
Isolda Road,,1,no 3,
Jervis St,D1,2,Mary St,4271
Jervis St  (Poss 3 spaces),D1,2,FÁS,01877
Johnfield Road,D8,1,At no 1 Johnfield Road,04689
Kenilworth Park,D6,1,No 23,03022
