Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities,lat,long
Palestine,Gaza Strip,Deir al-Balah,PSE,PS0265,PS02,January,2016,3,2,31.4190,34.3516
Palestine,Gaza Strip,Gaza City,PSE,PS0260,PS02,January,2016,6,0,31.5167,34.4500
Palestine,Gaza Strip,Khan Yunis,PSE,PS0270,PS02,January,2016,2,0,31.3439,34.3025
Palestine,Gaza Strip,North Gaza Governorate,PSE,PS0255,PS02,January,2016,4,1,31.5500,34.5000
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,January,2016,1,0,31.2886,34.2519
Palestine,West Bank,Jerusalem,PSE,PS0140,PS01,January,2016,16,1,31.7789,35.2256
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,January,2016,15,2,31.7044,35.2061
Palestine,West Bank,Hebron,PSE,PS0150,PS01,January,2016,14,13,31.5350,35.0986
Palestine,West Bank,Jenin,PSE,PS0101,PS01,January,2016,3,2,32.4667,35.3000
Palestine,West Bank,Jericho,PSE,PS0135,PS01,January,2016,0,0,31.8561,35.4631
Palestine,West Bank,Nablus,PSE,PS0115,PS01,January,2016,5,2,32.2161,35.2661
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,January,2016,6,0,32.1904,34.9685
Palestine,West Bank,Ramallah,PSE,PS0130,PS01,January,2016,9,4,31.8969,35.2017
Palestine,West Bank,Salfit,PSE,PS0125,PS01,January,2016,3,2,32.0819,35.1822
Palestine,West Bank,Tubas,PSE,PS0105,PS01,January,2016,2,0,32.3222,35.3686
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,January,2016,3,0,32.3111,35.0308
Palestine,Gaza Strip,Deir al-Balah,PSE,PS0265,PS02,February,2016,2,0,31.4190,34.3516
Palestine,Gaza Strip,Gaza City,PSE,PS0260,PS02,February,2016,5,0,31.5167,34.4500
Palestine,Gaza Strip,Khan Yunis,PSE,PS0270,PS02,February,2016,2,0,31.3439,34.3025
Palestine,Gaza Strip,North Gaza Governorate,PSE,PS0255,PS02,February,2016,4,0,31.5500,34.5000
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,February,2016,0,0,31.2886,34.2519
Palestine,West Bank,Jerusalem,PSE,PS0140,PS01,February,2016,15,10,31.7789,35.2256
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,February,2016,13,3,31.7044,35.2061
Palestine,West Bank,Hebron,PSE,PS0150,PS01,February,2016,11,4,31.5350,35.0986
Palestine,West Bank,Jenin,PSE,PS0101,PS01,February,2016,8,3,32.4667,35.3000
Palestine,West Bank,Jericho,PSE,PS0135,PS01,February,2016,1,1,31.8561,35.4631
Palestine,West Bank,Nablus,PSE,PS0115,PS01,February,2016,9,1,32.2161,35.2661
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,February,2016,3,0,32.1904,34.9685
Palestine,West Bank,Ramallah,PSE,PS0130,PS01,February,2016,7,2,31.8969,35.2017
Palestine,West Bank,Salfit,PSE,PS0125,PS01,February,2016,1,0,32.0819,35.1822
Palestine,West Bank,Tubas,PSE,PS0105,PS01,February,2016,0,0,32.3222,35.3686
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,February,2016,2,1,32.3111,35.0308
Palestine,Gaza Strip,Deir al-Balah,PSE,PS0265,PS02,March,2016,2,0,31.4190,34.3516
Palestine,Gaza Strip,Gaza City,PSE,PS0260,PS02,March,2016,2,0,31.5167,34.4500
Palestine,Gaza Strip,Khan Yunis,PSE,PS0270,PS02,March,2016,0,0,31.3439,34.3025
Palestine,Gaza Strip,North Gaza Governorate,PSE,PS0255,PS02,March,2016,1,2,31.5500,34.5000
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,March,2016,0,0,31.2886,34.2519
Palestine,West Bank,Jerusalem,PSE,PS0140,PS01,March,2016,14,4,31.7789,35.2256
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,March,2016,8,0,31.7044,35.2061
Palestine,West Bank,Hebron,PSE,PS0150,PS01,March,2016,10,8,31.5350,35.0986
Palestine,West Bank,Jenin,PSE,PS0101,PS01,March,2016,2,0,32.4667,35.3000
Palestine,West Bank,Jericho,PSE,PS0135,PS01,March,2016,1,0,31.8561,35.4631
Palestine,West Bank,Nablus,PSE,PS0115,PS01,March,2016,8,2,32.2161,35.2661
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,March,2016,2,0,32.1904,34.9685
Palestine,West Bank,Ramallah,PSE,PS0130,PS01,March,2016,4,0,31.8969,35.2017
Palestine,West Bank,Salfit,PSE,PS0125,PS01,March,2016,3,3,32.0819,35.1822
Palestine,West Bank,Tubas,PSE,PS0105,PS01,March,2016,0,0,32.3222,35.3686
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,March,2016,0,0,32.3111,35.0308
Palestine,Gaza Strip,Deir al-Balah,PSE,PS0265,PS02,April,2016,2,0,31.4190,34.3516
Palestine,Gaza Strip,Gaza City,PSE,PS0260,PS02,April,2016,5,0,31.5167,34.4500
Palestine,Gaza Strip,Khan Yunis,PSE,PS0270,PS02,April,2016,0,0,31.3439,34.3025
Palestine,Gaza Strip,North Gaza Governorate,PSE,PS0255,PS02,April,2016,3,0,31.5500,34.5000
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,April,2016,3,0,31.2886,34.2519
Palestine,West Bank,Jerusalem,PSE,PS0140,PS01,April,2016,20,3,31.7789,35.2256
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,April,2016,2,0,31.7044,35.2061
Palestine,West Bank,Hebron,PSE,PS0150,PS01,April,2016,5,1,31.5350,35.0986
Palestine,West Bank,Jenin,PSE,PS0101,PS01,April,2016,2,0,32.4667,35.3000
Palestine,West Bank,Jericho,PSE,PS0135,PS01,April,2016,0,0,31.8561,35.4631
Palestine,West Bank,Nablus,PSE,PS0115,PS01,April,2016,7,0,32.2161,35.2661
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,April,2016,3,0,32.1904,34.9685
Palestine,West Bank,Ramallah,PSE,PS0130,PS01,April,2016,2,0,31.8969,35.2017
Palestine,West Bank,Salfit,PSE,PS0125,PS01,April,2016,0,0,32.0819,35.1822
Palestine,West Bank,Tubas,PSE,PS0105,PS01,April,2016,0,0,32.3222,35.3686
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,April,2016,0,0,32.3111,35.0308
